College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
GDCH Mumbai,"Mumbai,  Maharashtra",DCI,Estd 1938,Public,8.2,"D.G. Ruparel College of Arts, Science and Commerce is a private leading college in Mumbai currently offering more than 30 programmes at the UG, PG and Research level in the fields of Humanities, Physical, Biological and Social Sciences, law, Technology, Management and Commerce. The popular and famous courses of D.G. Ruparel College includes B.A, B.Com and B.Sc which are offered under a variety of specializations. Admission to these popular programmes of D.G. Ruparel College of Arts, Science and Commerce is strictly done on the basis of the merits secured by the applicants in their 10+2 level board examination. Also, the college aims to create its students into successful professionals by providing them qualitative education with great professional exposure during their years of graduation. Check DG Ruparel Admission"
DG Ruparel College,"Mumbai,  Maharashtra",,Estd 1952,Private,7.9,"St Joseph’s College Bangalore, Karnataka, is an autonomous higher education institution established in 1882 with the view to provide education to the minority Catholic community of the area. It is affiliated to the Bangalore University. The college was granted College for Excellence‘(CE) status by the UGC and accredited as A++ by NAAC. SJC Bangalore offers undergraduate and postgraduate programs in the field of Arts, Science, and Commerce across various specializations. It also provides BBA, BCA, BSW, B.Voc. and diploma programs as well."
St. Joseph College Bangalore,"Bangalore,  Karnataka",UGC,Estd 1882,Public (Autonomous),8.3,"Institute of Agribusiness Management, Bikaner was established in 2000 to provide the best opportunities to students in terms of agricultural and industrial education. IABM Bikaner is affiliated with Swami Keswanand Agricultural University, Bikaner and accredited by ICAR, New Delhi. The institute has secured rank 86th in Top B-Schools by Business Today (BT) 2023."
IABM Bikaner,"Bikaner,  Rajasthan","AICTE, UGC",Estd 2000,Private,7.8,"Hindu College is affiliated under Delhi University and is one of the most esteemed colleges in the country. It has recently been ranked 1st for Science and Arts by India Today and is also accredited by the NAAC. According to the NIRF 2023 All India ranking, Hindu College has been ranked 2nd in college category. Furthermore, Hindu College has set a record of 95 percent placement score for itself over the years. Some of the top organizations participating in the Hindu College placement drive include Google, HDFC, Maruti, Deloitte, etc."
Hindu College Delhi,"New Delhi,  Delhi NCR",,Estd 1899,Public,8.4,ITS School of Management is a premier management school established in 1995 under the aegis of ITS Education Group. The institute was established to impart quality education in the field of Management and Information Technology. ITS Ghaziabad is affiliated with Dr. A.P.J. Abdul Kalam University and recognized by the UGC. The School is also accredited by the NBA and NAAC Grade ‘A’. ITS is ranked 95th in Top B-Schools by Business Today (BT) 2023.
"Institute of Technology and Science - [I.T.S], Ghaziabad","Ghaziabad,  Uttar Pradesh","AICTE, NBA, AIU",Estd 1995,Private,8.2,"IIHMR University, Jaipur is ranked 46th Nationally and 2nd in Rajasthan in Top 100 Private B-Schools by Business Today 2023. It is also ranked 32nd (All India) and 3rd (Rajasthan) in Best Universities Ranking by MDRA 2023. IIHMR ranked 9 in Top Eminent B-Schools of Super Excellence by CSR-GHRDC India’s Best B-School survey 2023. "
"IIHMR University, Jaipur","Jaipur,  Rajasthan",UGC,Estd 1984,Private University,8.1,"Mithibai College of Arts, Chauhan Institute of Science & Amrutben Jivanlal College of Commerce and Economics is a private institute in Mumbai. Established in 1961, Mithibai College is affiliated with Mumbai University and recognized by the UGC. The NAAC has also accredited the college with an ‘A’ grade. "
Mithibai College,"Mumbai,  Maharashtra","AICTE, UGC",Estd 1961,Private Institute,8.2,"The Institute of Hotel Management, Aurangabad was established in 1989 under the Maulana Azad Educational Trust (MAET) and Taj Group. The college offers 2 undergraduate four-year BA (honors) programs in Hotel Management and Culinary Arts. Admissions are based on an entrance test, supplemented by a Personal Interview and a Group Discussion. Placements are guaranteed for all students of IHM-A in world-class hotel chains like Taj, Oberoi, Hyatt, Marriott, and Accor."
IHM Aurangabad,"Aurangabad,  Maharashtra",AICTE,Estd 1989,Private,8.3,"Institute of Hotel Management Catering Technology and Applied Nutrition (IHM), Kolkata started functioning in the year of 1963. It is an autonomous body which runs under the Ministry of Tourism, Government of India. The institute offers BSc HHA and MSc HA program jointly with NCHMCT and IGNOU . In addition, the institution also offers diploma and certificate courses of 1.5 years. The basic admission criteria are based on the merit scores as well as the scores of the entrance examination conducted by NCHMCT."
IHM Kolkata,"Kolkata,  West Bengal",,Estd 1963,Public (Autonomous),8.6,"Institute of Hotel Management, Catering & Nutrition was set up in the year 1969 as an institute of food craft. IHM Lucknow has an affiliation with NCHMCT, Noida. It offers diploma, undergraduate and postgraduate programs to its students. The institute provides excellent opportunities to the students by imparting training and quality education in the field of tourism industry and hospitality. Admission to this college is based on merit and entrance test."
IHM Lucknow,"Lucknow,  Uttar Pradesh",NCHMCT,Estd 1969,Public,8.4,"JK Business School (JKBS), Gurgaon is a private business school established in 2006 . The institute’s flagship course is PGDM  with dual specialization at the Postgraduate level. Apart from the flagship PGDM program, JK Business School also offers undergraduate BBA and has recently introduced the BCA program. The selection process is done on the basis of a written test followed by an interview round. The institute has introduced new specialisations for the PGDM course – Digital Transformation and Business Analytics."
JK Business School Gurgaon,"Gurgaon,  Haryana","AICTE, MHRD",Estd 2006,Private,8.2,"Lexicon MILE Pune is a premier institute established in 2009 under the aegis of the Pune-based Lexicon Group of Institutions. The institute has ranked 3rd under Top Private Institutions in Pune by Outlook Best B Schools rankings in 2023 and 11 amongst top Private B Schools in West Resgion by BW Business World Rankings 2023. Lexicon MILE offers robust placement as the placement rate has been recorded as 97.5% for the last four consecutive years. The average Salary is recorded as INR 8.27 LPA as of November 2023 and Highest Salary stood at INR.18 LPA. Leading recruiters included Mahindra Finance, IDFC First Bank, BNY Mellon, SG Analytics, Amazon, TATA, HSBC, Accenture, PhonPe, BNY Mellon, and many more"
Lexicon MILE ,"Pune,  Maharashtra",AICTE,Estd 2009,Private,8.8,"School of Planning and Architecture, Vijayawada, was first established on the 7th of July 2008, and ten years later, it shifted its activities to a permanent campus. Also known as SPAV, it obtained the 18th position and 3rd position among the top architectural colleges in India by NIRF and India Today respectively."
SPA Vijayawada,"Vijayawada,  Andhra Pradesh",MHRD,Estd 2008,Public (Autonomous),7.5,
"Punjab College of Technical Education - [PCTE], Ludhiana","Ludhiana,  Punjab",AICTE,Estd 1999,Private,8.1,"Amity University Gurugram is a private university established in 2010 by the Amity Education Group. The university is approved by UGC & AICTE and holds the membership of AIU. Amity Gurgaon is accredited by NAAC with an “A+” Grade. It is also accredited by INC, BCI, PCI, COA, and IET, UK. Amity University Gurgaon campus is spread over an area of 110 acres. It is the only India and Asia’s second university to be awarded LEED (USA) Platinum certification. It offers UG, PG, and Doctoral courses in the fields of Commerce, Computer Science, Engineering, Literature, Management, Finance, Mass Communication, Travel and Tourism, Social Science, etc. Amity University Gurgaon has been ranked 94th Overall, 81st in Management, 99th in Engineering, and 23rd in Law as per the NIRF Rankings 2023."
Amity University Gurgaon,"Gurgaon,  Haryana","AICTE, RCI, COA, PCI, INC, BCI, UGC, AIU",Estd 2010,Private University,7.7,"NITK Surathkal is an autonomous university, established in 1960. NITK Surathkal is ranked 38 in the overall category by NIRF 2023. NITK Surathkal offers undergraduate, postgraduate and doctoral degrees. NITK Surathkal campus spans 295 acres. NITK Surathkal provides separate hostels for both men and women. "
NITK Surathkal,"Surathkal,  Karnataka",AICTE,Estd 1960,Autonomous University,8.4,"GL Bajaj Institute of Technology and Management, founded in 2005, is among the most prestigious educational institutions in the Greater Noida/Delhi-NCR Region. GL Bajaj is regarded as one of the best engineering and management colleges in Uttar Pradesh. The college is the sixth institute to be established under the prestigious Rajiv Memorial Academic Welfare Society (registered under the Societies Registration Act 1860). The institute is accredited by the All India Council for Technical Education (AICTE), Ministry of Human Resources Development, Government of India, and is affiliated with Dr. A.P.J. Abdul Kalam Technical University (Formerly UPTU Lucknow)."
